source,text,link1,link2,favorite_count,is_retweet,id_str
Twitter for iPhone,"So many people are asking why isn't the A.G. or Special Council looking at the many Hillary Clinton or Comey crimes. 33,000 e-mails deleted?",,,105571,FALSE,8.88726E+17
Twitter for iPhone,"While all agree the U. S. President has the complete power to pardon, why think of that when only crime so far is LEAKS against us.FAKE NEWS",,,72192,FALSE,8.88724E+17
Twitter for iPhone,"This morning I will be going to the Commissioning Ceremony for the largest aircraft carrier in the world, The Gerald R. Ford.  Norfolk, Va.",,,74010,FALSE,8.88713E+17
Twitter for iPhone,"The Failing New York Times foiled U.S. attempt to kill the single most wanted terrorist,Al-Baghdadi.Their sick agenda over National Security",,,69595,FALSE,8.88711E+17
Twitter for iPhone,"A new INTELLIGENCE LEAK from the Amazon Washington Post,this time against A.G. Jeff Sessions.These illegal leaks, like Comey's, must stop!",,,73455,FALSE,8.88708E+17
Twitter for iPhone,Sean Spicer is a wonderful person who took tremendous abuse from the Fake News Media - but his future is bright!,,,120240,FALSE,8.88576E+17
Media Studio,"Today, it was my privilege to welcome survivors of the #USSArizona to the @WhiteHouse. #HonorThem????Remarks: ",https://t.co/gySxxqazBl ,https://t.co/6IPmbqVi10,69792,FALSE,8.88531E+17
Media Studio,"Today, it was my privilege to welcome survivors of the #USSArizona to the WH. Remarks: ",https://t.co/gySxxqazBl,https://t.co/gySxxqazBl ,1736,FALSE,8.8853E+17
Twitter for iPhone,Manufacturers’ record-high optimism reported in the 1st qtr has carried into the 2nd qtr of 2017 via @ShopFloorNAM:,https://t.co/a42fNElct1 ,https://t.co/WHZtcAxhRQ,41284,FALSE,8.88479E+17
Media Studio,"ICYMI- This week we hosted a #MadeInAmerica event, right here at the @WhiteHouse! If it is MADE IN AMERICA, it is the BEST! USA???? ",https://t.co/q4vB9GdE5y,,58876,FALSE,8.8843E+17
Media Studio,Six months in - it is the hope of GROWTH??that is making America????FOUR TRILLION DOLLARS??RICHER. -Stuart @VarneyCo??,https://t.co/s7fYOicWGV ,https://t.co/x9MeUzDom6,56880,FALSE,8.8842E+17
Twitter for iPhone,#MadeInAmerica??????,https://t.co/39dwlGHI7R ,https://t.co/VfIrc5Xssx,42436,FALSE,8.88393E+17
Twitter for iPhone,"Billions of dollars in investments &amp; thousands of new jobs in America! An initiative via Corning, Merck &amp; Pfizer: ",https://t.co/QneN48bSiq ,https://t.co/5VtMfuY3PM,59311,FALSE,8.8824E+17
Media Studio,"I am asking all citizens to believe in yourselves, believe in your future, and believe, once more, in America. #AmericaFirst???? ",https://t.co/NOnhJyWp4J,,122092,FALSE,8.88129E+17
Twitter for iPhone,"Departing The Pentagon after meetings with @VP Pence, Secretary James Mattis, and our great teams. #MAGA???? ",https://t.co/5d1MSzhjQS,,60572,FALSE,8.88088E+17
Twitter for iPhone,"Melania and I send our thoughts and prayers to Senator McCain, Cindy, and their entire family. Get well soon. ",https://t.co/fONWVlmYyz,,84370,FALSE,8.87863E+17
Twitter for iPhone,"The Republicans never discuss how good their healthcare bill is, &amp; it will get even better at lunchtime.The Dems scream death as OCare dies!",,,75511,FALSE,8.87655E+17
Twitter for iPhone,I will be having lunch at the White House today with Republican Senators concerning healthcare. They MUST keep their promise to America!,,,93049,FALSE,8.87651E+17
Twitter for iPhone,RT @FoxNews: U.S. Markets since election. ,https://t.co/rlWSt30GUd,,0,TRUE,8.87478E+17
Twitter for iPhone,The Fake News is becoming more and more dishonest! Even a dinner arranged for top 20 leaders in Germany is made to look sinister!,,,109127,FALSE,8.87477E+17
Twitter for iPhone,"Fake News story of secret dinner with Putin is ""sick."" All G 20 leaders, and spouses, were invited by the Chancellor of Germany. Press knew!",,,98186,FALSE,8.87475E+17
Twitter for iPhone,The Senate must go to a 51 vote majority instead of current 60 votes. Even parts of full Repeal need 60. 8 Dems control Senate. Crazy!,,,74152,FALSE,8.87303E+17
Twitter for iPhone,"With only a very small majority, the Republicans in the House &amp; Senate need more victories next year since Dems totally obstruct, no votes!",,,67041,FALSE,8.873E+17
Twitter for iPhone,"As I have always said, let ObamaCare fail and then come together and do a great healthcare plan. Stay tuned!",,,84372,FALSE,8.8728E+17
Twitter for iPhone,"We were let down by all of the Democrats and a few Republicans. Most Republicans were loyal, terrific &amp; worked really hard. We will return!",,,78612,FALSE,8.87279E+17
Twitter for iPhone,Republicans should just REPEAL failing ObamaCare now &amp; work on a new Healthcare Plan that will start from a clean slate. Dems will join in!,,,114485,FALSE,8.87134E+17
Twitter for iPhone,Most politicians would have gone to a meeting like the one Don jr attended in order to get info on an opponent. That's politics!,,,102537,FALSE,8.86951E+17
Twitter for iPhone,"Heading back to Washington, D.C. Much will be accomplished this week on trade, the military and security!",,,89884,FALSE,8.86743E+17
Twitter for iPhone,Congratulations to Sung Hyun Park on winning the 2017 @USGA #USWomensOpen????,,,48125,FALSE,8.86743E+17
Twitter for iPhone,I am at the @USGA  #USWomensOpen. An amateur player is co-leading for the first time in many decades - very exciting!,,,51984,FALSE,8.86692E+17
Twitter for iPhone,The #USSJohnFinn will provide essential capabilities to keep America safe. Our sailors are the best anywhere in the world. Congratulations! ,https://t.co/yTnMwSh1Kg,,69926,FALSE,8.86636E+17
Twitter for iPhone,"The ABC/Washington Post Poll, even though almost 40% is not bad at this time, was just about the most inaccurate poll around election time!",,,72783,FALSE,8.86589E+17
Twitter for iPhone,"With all of its phony unnamed sources &amp; highly slanted &amp; even fraudulent reporting, #Fake News is DISTORTING DEMOCRACY in our country!",,,96428,FALSE,8.86545E+17
Twitter for iPhone,Thank you to former campaign adviser Michael Caputo for saying so powerfully that there was no Russian collusion in our winning campaign.,,,92061,FALSE,8.86542E+17
Twitter for iPhone,"Thank you to all of the supporters, who far out-numbered the protesters, yesterday at the Women's U.S. Open. Very cool!",,,112717,FALSE,8.86539E+17
Twitter for iPhone,"HillaryClinton can illegally get the questions to the Debate &amp; delete 33,000 emails but my son Don is being scorned by the Fake News Media?",,,143851,FALSE,8.86535E+17
Twitter for iPhone,The women played great today at the @USGA #USWomensOpen???? I look forward to being there tomorrow for the final round! ,https://t.co/2oWyptgfIY,,46187,FALSE,8.86421E+17
Twitter for iPhone,"Just got to the #USWomensOpen in Bedminster, New Jersey. People are really happy with record high stock market - up over 17% since election!",,,66479,FALSE,8.86322E+17
Twitter for iPhone,MAKE AMERICA GREAT AGAIN! ,https://t.co/3eYF3nir4B,,65311,FALSE,8.86319E+17
Media Studio,Next week the Senate is going to vote on legislation to save Americans from the ObamaCare DISASTER. #WeeklyAddress???? ,https://t.co/xjVDkgo1NK,,60683,FALSE,8.86283E+17
Twitter for iPhone,Will be at the Women's U.S. Open today!,,,55281,FALSE,8.86262E+17
Twitter for iPhone,"Stock Market hit another all-time high yesterday - despite the Russian hoax story! Also, jobs numbers are starting to look very good!",,,87173,FALSE,8.86262E+17
Twitter for iPhone,Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!,,,85526,FALSE,8.86259E+17
Twitter for iPhone,"I will be at the @USGA #USWomensOpen in Bedminster, NJ tomorrow. Big crowds expected &amp; the women are playing great-should be very exciting!",,,50762,FALSE,8.86058E+17
Twitter for iPhone,Honored to serve as Commander-in-Chief to the courageous men and women of our U.S. Armed Forces. A grateful nation thanks you! ,https://t.co/wERNV7J4oO,,112362,FALSE,8.86036E+17
Media Studio,"President @EmmanuelMacron,Thank you for inviting Melania and myself to such a historic celebration in France. #BastilleDay #14juillet ",https://t.co/KZjJQOo0H1,,79045,FALSE,8.85992E+17
Twitter for iPhone,"Just landed from Paris, France. It was an incredible visit with President @EmmanuelMacron. A lot discussed and accomplished in two days!",,,61382,FALSE,8.85988E+17
